brandName,name,price,item_url,category
토니모리,원더 비건 라벨 세라마이드 모찌 진정 토너 500ml,"19,800",https://www.29cm.co.kr/product/1396522,뷰티
마르마르디,비건 핸드크림 & 립밤 템플 인센스 기획세트,"24,000",https://www.29cm.co.kr/product/1310988,뷰티
허로우,블랙체리 틴트 비건 립밤,"7,900",https://www.29cm.co.kr/product/307850,뷰티
멜릭서,[리뉴얼]_비건 스쿠알란 페이스 오일,"38,000",https://www.29cm.co.kr/product/373900,뷰티
프랭클리,[비건버터 보습 크림] 버터 쏘 머치 크림,"16,550",https://www.29cm.co.kr/product/1300622,뷰티
허로우,"문 비건 립밤 / 엑스트라 보습, 블루 캐모마일 바닐라","7,900",https://www.29cm.co.kr/product/308242,뷰티
위키드랩,[업그레이드]_100% 식물성 비건 비오틴 멀티비타민 핑크구미베어 1병 세트,"25,000",https://www.29cm.co.kr/product/1073491,뷰티
톤28,머리 감을거리 S21 검은콩+참숯 1+1 (두피장벽강화),"22,000",https://www.29cm.co.kr/product/1354858,뷰티
허블룸,그린 클리어 비건 클렌징 오일 투 폼,"23,000",https://www.29cm.co.kr/product/1039744,뷰티
바이탈뷰티,메타그린 슬림 (90일분 세트) +10일 /다이어트/카테킨/비건,"99,000",https://www.29cm.co.kr/product/1353332,뷰티
이지앤모어,[집중팩] 유기농 비건 생리대 누르 Nur. 세트 (6팩),"46,200",https://www.29cm.co.kr/product/701559,뷰티
피부피부,[비건인증] 딥 슬립 테라퓨틱 배스솔트 130G,"25,000",https://www.29cm.co.kr/product/1415816,뷰티
베이지크,리파이닝 핸드워시,"32,000",https://www.29cm.co.kr/product/950475,뷰티
휘게,휘게 비건 선크림 50ml [SPF50+/PA++++],"27,000",https://www.29cm.co.kr/product/1103499,뷰티
톤28,얼굴 씻을거리 S10 세라마이드+비피다(피부탄력보습),"11,000",https://www.29cm.co.kr/product/277320,뷰티
튠나인,[탈모케어]_와우 리프레쉬드 비건 탈모완화 샴푸 500ml,"45,000",https://www.29cm.co.kr/product/1164645,뷰티
이지앤모어,유기농 비건 생리대 누르 Nur. 나이트 대형 (12개입),"7,900",https://www.29cm.co.kr/product/701525,뷰티
톤28,머리 감을거리 S21 검은콩+참숯 (두피장벽강화),"11,000",https://www.29cm.co.kr/product/277965,뷰티
튠나인,[탈모케어]_젠틀무드 비건 탈모완화 샴푸&트리트먼트 듀오 세트,"83,000",https://www.29cm.co.kr/product/1272667,뷰티
튠나인,[탈모케어]_해브 어 나이스 데이 비건 탈모완화 샴푸 500ml,"45,000",https://www.29cm.co.kr/product/1164610,뷰티
바이탈뷰티,메타그린 슬림 (60일분 세트)/다이어트/카테킨/비건,"66,000",https://www.29cm.co.kr/product/1353333,뷰티
이지앤모어,[매니아팩] 유기농 비건 생리대 누르 Nur. 세트 (10팩),"77,600",https://www.29cm.co.kr/product/701592,뷰티
부쉬맨,비건 립밤 4g,"16,000",https://www.29cm.co.kr/product/965633,뷰티
토니모리,더 쇼킹 비건라이너 수퍼픽싱,"14,000",https://www.29cm.co.kr/product/1400027,뷰티
쏘내추럴,쏘 비건 노니 아이래쉬 앰플,"16,000",https://www.29cm.co.kr/product/1089444,뷰티
