name,url,img_url,price
"고기대신 비건 궁중 불고기 (냉동), 600g, 1팩",https://www.coupang.com/vp/products/5848900793?itemId=10172502929&vendorItemId=77455077779,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13090
"그린부처 비건 양념갈비살 (냉동), 300g, 1개",https://www.coupang.com/vp/products/6082187122?itemId=11280961934&vendorItemId=78557795395,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6980
"고기대신 비건 양념갈비살 (냉동), 300g, 1개",https://www.coupang.com/vp/products/5672927971?itemId=9346683836&vendorItemId=76631930994,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6850
"아침햇살 미유 식물성 비건 쌀음료, 190ml, 24개",https://www.coupang.com/vp/products/5357836820?itemId=7899165727&vendorItemId=75188589636,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,15100
"베지가든 비건 숯불향 그윽한 궁중 너비아니 (냉동), 500g, 1개",https://www.coupang.com/vp/products/5071765400?itemId=6864451321&vendorItemId=74157044550,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,12680
"비건이펙트 클린 앤 글로우 청보리 LHA 젤 클렌저(205ml), 단품",https://www.coupang.com/vp/products/6168514280?itemId=12024367478&vendorItemId=80520173105,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,22000
"진선푸드 웰빙채식 김치손만두 (냉동), 1.4kg, 1개",https://www.coupang.com/vp/products/2346597072?itemId=4069117495&vendorItemId=72053197404,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11600
"진선푸드 웰빙채식 야채손만두 (냉동), 1.4kg, 1개",https://www.coupang.com/vp/products/2346597121?itemId=4069117549&vendorItemId=72053197457,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10800
"삼양 맛있는 라면 비건 100g, 4개",https://www.coupang.com/vp/products/5454178772?itemId=8333094458&vendorItemId=75620931366,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4480
"베지가든 비건 고구마 함박스테이크 (냉동), 360g, 1팩",https://www.coupang.com/vp/products/5071729414?itemId=6864343462&vendorItemId=74156937497,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13650
"베지가든 비건 바삭 탕수육 (냉동), 1kg, 1개",https://www.coupang.com/vp/products/5071765872?itemId=6864452722&vendorItemId=74157046298,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,21500
"청춘푸드 비건 초코멜로우 3입 (냉동), 210g, 1박스",https://www.coupang.com/vp/products/5727498108?itemId=9600078690&vendorItemId=76884662702,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9796559169800918-acaac66e-2cb3-43de-a1dc-08d058e37e83.jpg,10400
"비건인증 채소 믹스, 1kg, 1팩",https://www.coupang.com/vp/products/194587039?itemId=558289108&vendorItemId=4466446247,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15130158383519975-6db5b501-2732-4e70-9d3f-bcf5583f510b.jpg,10490
"스윗밸런스 비건 트러플 펜네 콥 샐러드, 250g, 2개",https://www.coupang.com/vp/products/5353308238?itemId=7879255891&vendorItemId=75168799834,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/83004956039155-5a0c3b64-67d4-4e02-865c-e8613f9e4b34.jpg,11800
"나뚜루 퓨어 코코넛 파인트, 474ml, 1개",https://www.coupang.com/vp/products/6060627964?itemId=11142866668&vendorItemId=78421272727,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/26/11/8/ee836d8f-3e2a-4e9b-85c2-f73b8b0784c2.jpg,8700
"오늘의 일상 브런치 미니 비건 크로아상 (냉동), 35g, 5개입",https://www.coupang.com/vp/products/6197698809?itemId=12276971013&vendorItemId=79547365683,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/22/18/5/50f42615-bdf0-416f-9b8e-f26cb8fc359e.jpg,7930
"브라잇벨리 플랜트 왕교자 (냉동), 385g, 3개",https://www.coupang.com/vp/products/6204130010?itemId=12328333810&vendorItemId=79598343708,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/11/16/5/4e098105-b794-4fb2-8649-1fd873d7824f.jpg,14970
"더브레드블루 통밀빵 (냉동), 650g, 1개",https://www.coupang.com/vp/products/162449182?itemId=466751641&vendorItemId=4163862433,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/532791544117611-d880f39f-d14b-4e69-9825-3b874cffa465.jpg,11900
"망넛이네 다크초코칩 찹싸루니 (냉동), 90g, 3개",https://www.coupang.com/vp/products/5842593829?itemId=10144181871&vendorItemId=77426900596,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6053357949274435-488f8050-e05a-4cde-8119-8d3457d1b87c.jpg,8920
"망넛이네 녹차품은다크 찹싸루니 (냉동), 90g, 3개",https://www.coupang.com/vp/products/5842593808?itemId=10144181838&vendorItemId=77426900555,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8920
"진선푸드 우리밀 피망잡채만두 (냉동), 1.4kg, 1개",https://www.coupang.com/vp/products/2346597036?itemId=4069117413&vendorItemId=72053197327,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11820
"베지가든 비건 숯불향 떡갈비 (냉동), 960g, 1개",https://www.coupang.com/vp/products/5071765217?itemId=6864450680&vendorItemId=74157044031,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,23800
"빙그레 테이스티 코코넛 요거트 패션푸르트 베지테리언 4입, 540ml, 1개",https://www.coupang.com/vp/products/6011463226?itemId=10906932840&vendorItemId=78186771335,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4940
풀무원다논 식물성액티비아 컵 85g 블루베리 24개 비건인증,https://www.coupang.com/vp/products/4875955818?itemId=6343087038&vendorItemId=79862909499,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,18180
"Orrington Farms 브로드 베이스 앤 시즈닝 비건 치킨, 170.1g, 1개",https://www.coupang.com/vp/products/85238798?itemId=269719713&vendorItemId=3653628824,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5260
"그린부처 비건 함박스테이크 (냉동), 300g, 1개",https://www.coupang.com/vp/products/6082187117?itemId=11280961922&vendorItemId=78557795365,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,7980
"더브레드블루 쌀낭시에 5종 (냉동), 250g, 1개",https://www.coupang.com/vp/products/230772333?itemId=731892087&vendorItemId=4850306774,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11500
"베지가든 비건 브이민스 (냉동), 1kg, 1개",https://www.coupang.com/vp/products/5071765201?itemId=6864450656&vendorItemId=74157043955,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,24250
"치카피아 칙피 & 렌틸 스파이럴 글루텐 프리 비건 프로틴, 227g, 1개",https://www.coupang.com/vp/products/94145179?itemId=291447166&vendorItemId=3716469734,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5540
"마녀공장 아워 비건 선플루이드 글로우 선크림 SPF50+ PA++++, 50ml, 1개",https://www.coupang.com/vp/products/2161310995?itemId=3671522166&vendorItemId=71656882981,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,17450
"더브레드블루 통밀식빵 (냉동), 440g, 1개",https://www.coupang.com/vp/products/230772393?itemId=731892171&vendorItemId=4850306970,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8010
"자연다움 바로먹는 퀵 오트밀, 1.8kg, 1개",https://www.coupang.com/vp/products/6139202874?itemId=5130750981&vendorItemId=72440166241,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,9980
"더브레드블루 통밀발효종빵 2개입 (냉동), 600g, 1개",https://www.coupang.com/vp/products/230772298?itemId=731892015&vendorItemId=4850306648,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,9800
"더온리프 비건 그리너리 리페어 시카 크림, 100g, 1개",https://www.coupang.com/vp/products/6113091079?itemId=11534425490&vendorItemId=78809492551,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,20160
"네이쳐스패스 인바이로키즈 초콜릿 초코 침프 시리얼 비건 글루텐 프리 홀 그레인, 284g, 1개",https://www.coupang.com/vp/products/6535063?itemId=29006014&vendorItemId=4043224659,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6590
"잇츠베러 마요, 245g, 1개",https://www.coupang.com/vp/products/213694586?itemId=648658719&vendorItemId=4686564310,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5500
"그린부처 비건 궁중불고기 (냉동), 300g, 1개",https://www.coupang.com/vp/products/6064950997?itemId=11170153682&vendorItemId=78448191067,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6980
"풀무원 두부면 넓은면, 100g, 3개",https://www.coupang.com/vp/products/1683501650?itemId=2867653218&vendorItemId=70856881228,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6360
"잇츠베러 유아용 비건 크래커 280g, 초코시나몬, 10개입",https://www.coupang.com/vp/products/5637498702?itemId=9187409427&vendorItemId=76473226443,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13000
"네이쳐스베이커리 피그 바 라즈베리 비건 6개입, 340.2g, 2개",https://www.coupang.com/vp/products/7740672?itemId=11014955163&vendorItemId=78294628297,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11380
"브라잇벨리 플랜트 함박 앤 베지 (냉동), 185g, 2팩",https://www.coupang.com/vp/products/6237643317?itemId=12571534768&vendorItemId=79839694736,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13800
"멜릭서 비건 밸런싱 토너, 150ml, 1개",https://www.coupang.com/vp/products/2280744637?itemId=3916890063&vendorItemId=71901432998,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13500
"라판자넬라 미니 아티산 크래커 오리지널 비건 올 내추럴 저지방, 170g, 4개",https://www.coupang.com/vp/products/16820995?itemId=11014989859&vendorItemId=78294662143,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,17780
"진선푸드 삼색 새알 야채만두 (냉동), 1kg, 1개",https://www.coupang.com/vp/products/2346596979?itemId=4069117317&vendorItemId=72053197246,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13300
"프레시지 v2 치폴레 찹스테이크 (냉동), 490g, 1개",https://www.coupang.com/vp/products/6221084187?itemId=12451198059&vendorItemId=79720316721,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,14900
"히츨러 소프티 비건 쇼코너스, 175g, 2개",https://www.coupang.com/vp/products/5025739201?itemId=6744578657&vendorItemId=74037471360,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10670
"히피스 칙피 퍼프 스리라차 선샤인 글루텐 프리 비건, 113g, 4개",https://www.coupang.com/vp/products/5432187983?itemId=8235121649&vendorItemId=75523146523,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,15690
"그린부처 비건 궁중불고기 (냉동), 300g, 1개",https://www.coupang.com/vp/products/6064950997?itemId=11170153682&vendorItemId=78448191067,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/07/28/14/7/cabc6964-6b2a-4816-8c4a-bfb134395275.jpg,6980
"에드워드앤선즈 낫 비프 큐브 리치 세이버리 브로스 앤 시즈닝 비건 글루텐 프리, 88g, 1개",https://www.coupang.com/vp/products/8699657?itemId=37958676&vendorItemId=4038542006,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/20ef/b75206fd5db9bccc42b04b2a54794ee58862bcb59cc6215c35c92e0a3c0d.jpg,4410
"브라잇벨리 플랜트 함박 앤 베지 (냉동), 185g, 2팩",https://www.coupang.com/vp/products/6237643317?itemId=12571534768&vendorItemId=79839694736,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/15/11/0/20c1b06a-fd75-4ddd-98af-aac35413baf8.jpg,13800
"노치올라따 헤이즐넛 & 코코아 스프레드 글루텐 프리 비건, 270g, 1개",https://www.coupang.com/vp/products/9807466?itemId=43379035&vendorItemId=4037330440,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/10/16/17/2/7713e74e-3b70-4730-8d52-fd477243d04c.jpg,8780
"잇츠베러 크래커 파티 4종 세트, 1세트",https://www.coupang.com/vp/products/1175960217?itemId=2154791724&vendorItemId=70153058394,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7120291626447820-3b86f4fb-178f-4b04-b6ba-442c3cfb4836.png,10000
"망넛이네 블랙카카오 찹싸루니 식사대용 간식 빵 (냉동), 90g, 3개",https://www.coupang.com/vp/products/5694869428?itemId=9445903417&vendorItemId=76731881970,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6604818029425392-ba90f0e1-4fb2-4af6-9c67-edc8274b8b77.jpg,8920
"풀무원 두부면 얇은면, 100g, 3개",https://www.coupang.com/vp/products/1683501631?itemId=2867653181&vendorItemId=70856881170,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/09/11/4/e4f9e31d-273e-493c-8d3f-d5fe620aed1a.jpg,7410
"에널지 라이트 멀티그레인 브라운 라이스 비건 글루텐 프리, 228g, 2개",https://www.coupang.com/vp/products/104164243?itemId=8850125448&vendorItemId=76136882797,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1ac6/b4ff01058bf1fa56f3ec6acca33b81cd56edf9c6569609fc256517c62e57.jpg,11690
널담 고단백 비건 초코파이 널담파이,https://www.coupang.com/vp/products/5955114817?itemId=10657557758&vendorItemId=79911525968,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,20210
"네추럴팩터스 베르베린 500mg 베지테리안 캡슐 글루텐 프리 무설탕 비건, 60개입, 1개",https://www.coupang.com/vp/products/195542750?itemId=561684160&vendorItemId=4476226013,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,22080
"100% 국산콩 하늘이 내린 쌈두부, 80g, 3개",https://www.coupang.com/vp/products/1653290806?itemId=2816785908&vendorItemId=70806315845,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,9600
"프레시지 v2 치폴레 찹스테이크 (냉동), 490g, 1개",https://www.coupang.com/vp/products/6221084187?itemId=12451198059&vendorItemId=79720316721,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,14900
"베터바디푸즈 PB핏 피넛 버터 파우더 글루텐 프리 비건 프로틴, 227g, 1개",https://www.coupang.com/vp/products/9026004?itemId=39568441&vendorItemId=72783005805,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10000
"인댄절드스피시즈초콜릿 다크 초콜릿 글루텐 프리 비건, 88% Cocoa, 1개",https://www.coupang.com/vp/products/34057?itemId=92928&vendorItemId=3086200957,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,3420
"더건강한쌀베이글 플레인 쌀베이글 3개입 (냉동), 330g, 1개",https://www.coupang.com/vp/products/6085859952?itemId=11309402960&vendorItemId=78586006701,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8700
"시작하는 비건에게:비건 비기너가 묻고 채식 32년 최셰프가 답하다, 수작걸다",https://www.coupang.com/vp/products/4387768754?itemId=5196704995&vendorItemId=72505897723,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,18000
"Kal 뉴트리셔널 이스트 플레이크 언스위튼드 원더풀 너티 글루텐 프리 비건, 340g, 1개",https://www.coupang.com/vp/products/61963569?itemId=211873913&vendorItemId=3503988281,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,19710
"망넛이네 블랙얼그레이 찹싸루니 식사대용 간식 빵 (냉동), 90g, 3개",https://www.coupang.com/vp/products/5694869462?itemId=9445903698&vendorItemId=76731882324,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10500
"아르비엔 비건 무기자차 톤업 선크림 SPF50+ PA++++, 50ml, 1개",https://www.coupang.com/vp/products/5671889137?itemId=9342196678&vendorItemId=76627466005,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,16230
콩과 현미로 만든 비건 콩까스 240g,https://www.coupang.com/vp/products/5165354757?itemId=7115166755&vendorItemId=74407015283,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10900
"나우푸드 비오틴 5000mcg 베지 캡슐 비건 글루텐 프리, 1개, 120개입",https://www.coupang.com/vp/products/1955584555?itemId=3322988636&vendorItemId=72495291625,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11990
"쏘두위 비건 오일풀링 마우스워시, 500ml, 1개",https://www.coupang.com/vp/products/6195054228?itemId=12256750740&vendorItemId=79527338698,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10900
"프레시지 v2 두유 머쉬룸 리조또 (냉동), 786g, 1개",https://www.coupang.com/vp/products/6221084197?itemId=12451198085&vendorItemId=79720316760,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11810
"엔자이메디카 다이제스트 베이직 캡슐 비건, 180개입, 3개",https://www.coupang.com/vp/products/678660?itemId=9290050934&vendorItemId=80761191565,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,91900
"곰곰 쌈두부, 100g, 3개입",https://www.coupang.com/vp/products/4738497325?itemId=6018130961&vendorItemId=73315809213,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,7290
"누티바 코코넛 오일 버터리 플레이버 비건, 414ml, 1개",https://www.coupang.com/vp/products/2327956?itemId=10695510&vendorItemId=3270697733,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8460
"그린부처 비건 제육볶음 (냉동), 250g, 1개",https://www.coupang.com/vp/products/6030294803?itemId=10993970468&vendorItemId=78273666787,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,7980
